time,fips,region,ownercode,firmage,Emp,EmpEnd,EarnBeg,EmpS,EmpTotal,FrmJbC
1994,53,Washington,A05,4,993673.0,995683.0,6862.0,797049.0,1361313.0,2009.0
1994,53,Washington,A05,5,5295566.0,5299823.0,9579.0,4601325.0,6481758.0,4258.0
1994,55,Wisconsin,A05,1,305880.0,336314.0,4903.0,236864.0,459313.0,30434.0
1994,55,Wisconsin,A05,2,319321.0,321083.0,5205.0,252953.0,433592.0,1763.0
1994,55,Wisconsin,A05,3,371444.0,374313.0,5752.0,306472.0,476549.0,2870.0
1994,55,Wisconsin,A05,4,968272.0,976818.0,6433.0,815006.0,1223852.0,8548.0
1994,55,Wisconsin,A05,5,6318284.0,6354118.0,8307.0,5648860.0,7371218.0,35835.0
1995,06,California,A05,1,2321425.0,2569391.0,6839.0,1758442.0,3715991.0,247966.0
1995,06,California,A05,2,2809046.0,2821158.0,7454.0,2200419.0,3950640.0,12112.0
1995,06,California,A05,3,2850499.0,2871030.0,7685.0,2276676.0,3895921.0,20532.0
1995,06,California,A05,4,6133964.0,6173992.0,8473.0,5052314.0,8014236.0,40030.0
1995,06,California,A05,5,28500897.0,28505214.0,10485.0,24842747.0,34323883.0,4317.0
1995,08,Colorado,A05,1,365052.0,401910.0,6200.0,262541.0,605894.0,36858.0
1995,08,Colorado,A05,2,380374.0,383792.0,6851.0,283740.0,560688.0,3417.0
1995,08,Colorado,A05,3,339232.0,341620.0,7045.0,258992.0,483185.0,2387.0
1995,08,Colorado,A05,4,810656.0,816327.0,7545.0,635980.0,1119790.0,5670.0
1995,08,Colorado,A05,5,4085482.0,4095855.0,9170.0,3426526.0,5165986.0,10373.0
1995,16,Idaho,A05,1,88404.0,97916.0,4547.0,63536.0,147122.0,9512.0
1995,16,Idaho,A05,2,89794.0,89382.0,4907.0,66290.0,133009.0,-412.0
1995,16,Idaho,A05,3,79737.0,79777.0,5043.0,61265.0,112715.0,41.0
1995,16,Idaho,A05,4,213300.0,214227.0,5713.0,169769.0,289224.0,925.0
1995,16,Idaho,A05,5,1074345.0,1075325.0,8387.0,919586.0,1328235.0,979.0
1995,17,Illinois,A05,1,784580.0,858225.0,6939.0,603204.0,1203759.0,73644.0
1995,17,Illinois,A05,2,841274.0,842774.0,7523.0,672516.0,1134105.0,1500.0
1995,17,Illinois,A05,3,775426.0,775552.0,7355.0,629847.0,1013467.0,124.0
1995,17,Illinois,A05,4,2062886.0,2065485.0,8486.0,1723880.0,2618927.0,2599.0
1995,17,Illinois,A05,5,14351963.0,14347747.0,10277.0,12694173.0,16902360.0,-4216.0
1995,20,Kansas,A05,1,173274.0,191399.0,5099.0,126480.0,284508.0,18123.0
1995,20,Kansas,A05,2,190757.0,192075.0,5574.0,146009.0,273173.0,1316.0
